PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER_q1,RAPE_q1,ROBBERY_q1,FELONY ASSAULT_q1,BURGLARY_q1,GRAND LARCENY_q1,GRAND LARCENY OF MOTOR VEHICLE_q1,TOTAL_q1,MURDER_q2,RAPE_q2,ROBBERY_q2,FELONY ASSAULT_q2,BURGLARY_q2,GRAND LARCENY_q2,GRAND LARCENY OF MOTOR VEHICLE_q2,TOTAL_q2,MURDER_q3,RAPE_q3,ROBBERY_q3,FELONY ASSAULT_q3,BURGLARY_q3,GRAND LARCENY_q3,GRAND LARCENY OF MOTOR VEHICLE_q3,TOTAL_q3,TOTAL,CRIME OR NOT,CRIME OR NOT_q1,CRIME OR NOT_q2,CRIME OR NOT_q3
PELHAM BAY PARK,BRONX        ,2771.75 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0,0,0,0,0,0,0,0 ,0 ,1 ,0,0,0,1 ,0,2 ,4 ,1 ,1,0,1
VAN CORTLANDT PARK,BRONX        ,1146.43 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,1 ,0,1 ,0,2 ,0 ,0,1 ,0,1 ,1 ,0,3 ,5 ,1 ,0,1,1
ROCKAWAY BEACH AND BOARDWALK,QUEENS       ,1072.56 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0,0,2 ,0,3 ,0 ,1 ,1 ,2 ,0,10 ,0,14 ,17 ,1 ,0,1,1
FRESHKILLS PARK,STATEN ISLAND,913.32 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
FLUSHING MEADOWS CORONA PARK,QUEENS       ,897.69 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 ,0,0,5 ,1 ,0,4 ,1 ,11 ,0 ,0,6 ,1 ,0,9 ,0,16 ,30 ,1 ,1,1,1
LATOURETTE PARK & GOLF COURSE,STATEN ISLAND,843.97 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
MARINE PARK,BROOKLYN     ,798.00 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0,1 ,0,0,1 ,0,2 ,0 ,0,0,0,0,0,0,0 ,3 ,1 ,1,1,0
BELT PARKWAY/SHORE PARKWAY,BROOKLYN/QUEENS,760.43 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BRONX PARK,BRONX        ,718.37 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,1 ,7 ,0,0,1 ,0,9 ,0 ,0,2 ,0,0,2 ,0,4 ,13 ,1 ,0,1,1
FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,STATEN ISLAND,644.35 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
ALLEY POND PARK,QUEENS       ,635.51 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,1 ,0,0,0,0,0,0,1 ,0 ,0,0,0,0,0,0,0 ,2 ,1 ,1,1,0
PROSPECT PARK,BROOKLYN     ,526.25 ,ONE ACRE OR LARGER,0 ,1 ,1 ,1 ,0 ,2 ,0 ,5 ,0,0,3 ,3 ,0,3 ,0,9 ,0 ,0,7 ,3 ,0,11 ,0,21 ,35 ,1 ,1,1,1
FOREST PARK,QUEENS       ,506.86 ,ONE ACRE OR LARGER,0 ,1 ,0 ,0 ,1 ,0 ,0 ,2 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,1 ,0,1 ,3 ,1 ,1,0,1
GRAND CENTRAL PARKWAY,QUEENS       ,460.16 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
FERRY POINT PARK,BRONX        ,413.80 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CONEY ISLAND BEACH & BOARDWALK,BROOKLYN     ,399.20 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0,0,3 ,2 ,0,5 ,0,10 ,0 ,0,6 ,3 ,0,18 ,0,27 ,38 ,1 ,1,1,1
CUNNINGHAM PARK,QUEENS       ,358.00 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,5 ,0,5 ,0 ,0,0,0,0,0,0,0 ,5 ,1 ,0,1,0
RICHMOND PARKWAY,STATEN ISLAND,350.98 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
CROSS ISLAND PARKWAY,QUEENS       ,326.90 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
