PARK,TOTAL,BOROUGH,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE
PELHAM BAY PARK,4,BRONX,0,1,0,0,0,3,0
VAN CORTLANDT PARK,5,BRONX,0,0,1,1,1,2,0
ROCKAWAY BEACH AND BOARDWALK,17,QUEENS,0,1,2,2,0,12,0
FRESHKILLS PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
FLUSHING MEADOWS CORONA PARK,30,QUEENS,0,0,11,2,0,16,1
LATOURETTE PARK & GOLF COURSE,0,STATEN ISLAND,0,0,0,0,0,0,0
MARINE PARK,3,BROOKLYN,0,0,1,0,0,2,0
BELT PARKWAY/SHORE PARKWAY,0,BROOKLYN/QUEENS,0,0,0,0,0,0,0
BRONX PARK,13,BRONX,0,1,9,0,0,3,0
FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,0,STATEN ISLAND,0,0,0,0,0,0,0
ALLEY POND PARK,2,QUEENS,1,0,0,0,0,1,0
PROSPECT PARK,35,BROOKLYN,0,1,11,7,0,16,0
FOREST PARK,3,QUEENS,0,1,0,0,1,1,0
GRAND CENTRAL PARKWAY,0,QUEENS,0,0,0,0,0,0,0
FERRY POINT PARK,0,BRONX,0,0,0,0,0,0,0
CONEY ISLAND BEACH & BOARDWALK,38,BROOKLYN,0,0,10,5,0,23,0
CUNNINGHAM PARK,5,QUEENS,0,0,0,0,0,5,0
RICHMOND PARKWAY,0,STATEN ISLAND,0,0,0,0,0,0,0
CROSS ISLAND PARKWAY,0,QUEENS,0,0,0,0,0,0,0
GREAT KILLS PARK,1,STATEN ISLAND,0,0,0,0,1,0,0
WOLFE'S POND PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
CONFERENCE HOUSE PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
RANDALL'S ISLAND PARK,68,MANHATTAN,0,0,0,1,1,66,0
ROCKAWAY COMMUNITY PARK,0,QUEENS,0,0,0,0,0,0,0
KISSENA PARK,8,QUEENS,0,0,2,2,0,4,0
RIVERSIDE PARK,28,MANHATTAN,0,3,9,0,2,14,0
HUTCHINSON RIVER PARKWAY,0,BRONX,0,0,0,0,0,0,0
BLUE HERON PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
DYKER BEACH PARK,2,BROOKLYN,0,0,0,1,0,1,0
WILLOWBROOK PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
STATEN ISLAND INDUSTRIAL PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
SILVER LAKE PARK,1,STATEN ISLAND,0,0,1,0,0,0,0
BRONX RIVER PARKWAY,4,BRONX,0,0,2,1,0,1,0
SOUNDVIEW PARK,3,BRONX,0,1,1,1,0,0,0
BELT PARKWAY,0,QUEENS,0,0,0,0,0,0,0
WILLOWBROOK PARKWAY,0,STATEN ISLAND,0,0,0,0,0,0,0
INWOOD HILL PARK,6,MANHATTAN,0,0,2,2,0,2,0
CLOVE LAKES PARK,1,STATEN ISLAND,0,1,0,0,0,0,0
FORT WASHINGTON PARK,1,MANHATTAN,0,0,1,0,0,0,0
IDLEWILD PARK,0,QUEENS,0,0,0,0,0,0,0
WARDS ISLAND PARK,0,MANHATTAN,0,0,0,0,0,0,0
SOUTH SHORE COUNTRY CLUB,0,STATEN ISLAND,0,0,0,0,0,0,0
SAW MILL CREEK MARSH,0,STATEN ISLAND,0,0,0,0,0,0,0
BLOOD ROOT VALLEY,0,STATEN ISLAND,0,0,0,0,0,0,0
JAMAICA BAY PARK,0,QUEENS,0,0,0,0,0,0,0
KISSENA CORRIDOR PARK,14,QUEENS,0,1,6,3,0,4,0
HIGHLAND PARK,11,BROOKLYN/QUEENS,0,0,4,1,0,5,1
ARDEN WOODS,0,STATEN ISLAND,0,0,0,0,0,0,0
RIVERDALE PARK,0,BRONX,0,0,0,0,0,0,0
OCEAN PARKWAY MALLS,0,BROOKLYN,0,0,0,0,0,0,0
BLOOMINGDALE PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
OCEAN BREEZE PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
CANARSIE PARK,1,BROOKLYN,0,0,0,0,0,0,1
HIGHBRIDGE PARK MANHATTAN SIDE,12,MANHATTAN,0,0,7,3,0,2,0
CROTONA PARK,27,BRONX,0,0,3,14,1,8,1
PAERDEGAT BASIN PARK,0,BROOKLYN,0,0,0,0,0,0,0
HOOK CREEK PARK,0,QUEENS,0,0,0,0,0,0,0
CRESCENT BEACH PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
CLEARVIEW PARK GOLF COURSE,0,QUEENS,0,0,0,0,0,0,0
BAISLEY POND PARK,3,QUEENS,0,0,2,1,0,0,0
