latitude15,longitude15,latitude05,longitude05
40.73185779,-73.98778566,40.73268903,-74.00558913
40.78495359,-73.97079801,40.73268903,-74.00558913
40.73705119,-74.00249972,40.73264512,-74.00556387
40.76470424,-73.9603603,40.73273295,-74.0056144
40.74403913,-73.98132351,40.73273295,-74.0056144
40.79857394,-73.97108242,40.73259292,-74.00646592
40.80656601,-73.96766169,40.73264512,-74.00556387
40.73603877,-74.00412395,40.73268903,-74.00558913
40.736984,-74.00296704,40.73264512,-74.00556387
40.76277768,-73.96288589,40.73109592,-73.98277116
40.7292061,-73.97950244,40.72179396,-73.982889
40.7851256,-73.97120683,40.72179396,-73.982889
40.73602867,-74.00419709,40.80784255,-73.95556877
40.73595577,-73.97656582,40.80784255,-73.95556877
40.80838469,-73.96633015,40.80784255,-73.95556877
40.73908694,-73.97773148,40.80798218,-73.95467643
40.75347641,-73.967024,40.78934943,-73.93939168
40.7746577,-73.96412312,40.73294696,-74.00704688
40.80095904,-73.949144,40.79684746,-73.93338221
40.76270891,-73.96293642,40.79690241,-73.93346523
40.71834489,-73.9855059,40.79687492,-73.93340385
40.73524905,-74.0009192,40.79684744,-73.93333887
40.73607823,-74.00383851,40.73303207,-74.00657782
40.77030119,-73.98555452,40.79588085,-73.93256695
40.78347029,-73.97318,40.79562397,-73.93452832
40.77469062,-73.96420149,40.79562397,-73.93452832
40.77070427,-73.98650806,40.79562397,-73.93452832
40.7360497,-74.00479393,40.77120663,-73.96586815
40.73947196,-73.9779239,40.80908004,-73.95461066
40.79871245,-73.97081235,40.80904433,-73.9545276
40.73901447,-73.97755902,40.72472893,-73.98983686
40.80609322,-73.96791598,40.72447361,-73.98922357
40.71843776,-73.98783359,40.79283394,-73.97153431
40.80455495,-73.95793759,40.76242288,-73.99420622
40.73993053,-73.9792141,40.7474503,-74.00568421
40.74027988,-73.97708299,40.7252163,-73.99587511
40.73937207,-73.97799661,40.74743109,-74.00559398
40.73999167,-73.97920879,40.74743109,-74.00559398
40.72918237,-73.97973392,40.74743109,-74.00559398
40.7393226,-73.97803262,40.76271935,-73.99491372
40.7391229,-73.97781708,40.76271935,-73.99487041
40.73904978,-73.97764304,40.76170926,-73.99441926
40.75356854,-73.96652987,40.77008117,-73.96547882
40.77462824,-73.96405296,40.79135686,-73.96991703
40.7393446,-73.97825231,40.79138982,-73.97000008
40.79481036,-73.97440649,40.79157932,-73.97044781
40.7943537,-73.97331984,40.79178806,-73.97098582
40.80449479,-73.9577948,40.77164069,-73.96719292
40.80772711,-73.96692235,40.77166542,-73.9672976
40.77260395,-73.94967952,40.77164069,-73.96719292
40.76463105,-73.96018665,40.75380224,-73.96595286
40.7284409,-73.97769208,40.77234,-73.98257856
40.80458822,-73.95801656,40.79437689,-73.97324553
40.73927025,-73.97807073,40.79476959,-73.97416994
40.74339891,-73.97287395,40.79436331,-73.97387395
40.74012457,-73.97907288,40.7715235,-73.9472712
40.79966683,-73.96587591,40.77208713,-73.9640228
40.74002755,-73.97914349,40.77208713,-73.9640228
40.73937321,-73.97832181,40.77208713,-73.9640228
40.82552488,-73.95338508,40.76658583,-73.97073687
40.8007605,-73.96232287,40.7739847,-73.94547124
40.76291691,-73.96278362,40.77274788,-73.98591947
40.72595709,-73.99830945,40.77440745,-73.9456117
40.76285796,-73.96282692,40.78535777,-73.97355609
40.81006602,-73.94318445,40.72424334,-73.992936
40.77986574,-73.97428837,40.7240565,-73.990324
40.72571748,-73.99781111,40.72275243,-73.98717469
40.74022182,-73.9790021,40.72290893,-73.98754986
40.74204924,-73.9790094,40.72290893,-73.98754986
40.74116402,-73.97835556,40.73245487,-73.98487439
40.74723481,-73.97788606,40.72338128,-73.99014372
40.78317722,-73.95847059,40.72338128,-73.99014372
40.74079887,-73.97858214,40.72292834,-73.98953408
40.79876877,-73.9717949,40.72249718,-73.9872505
40.78411082,-73.97076361,40.72265643,-73.98775915
40.78455495,-73.9718154,40.72253287,-73.98736233
40.79419105,-73.96837167,40.72258504,-73.98753188
40.74060484,-73.97872335,40.72000222,-73.98744578
40.74129644,-73.97822001,40.72000222,-73.98744578
40.74100659,-73.97843096,40.72034529,-73.98726534
40.74055672,-73.97879756,40.72057584,-73.98714985
40.78044081,-73.95979488,40.72063347,-73.98711737
40.73691226,-74.00699335,40.72000222,-73.98744578
40.74008869,-73.97913818,40.7202904,-73.98729782
40.79757806,-73.96215627,40.72063347,-73.98711737
40.82601811,-73.9528698,40.7434623,-73.99814868
40.74018594,-73.9790674,40.77082108,-73.9477808
40.77218671,-73.98030036,40.74349524,-73.99822808
40.74110289,-73.97836087,40.82771749,-73.94396017
40.77239418,-73.98079552,40.82757172,-73.94334602
40.74135757,-73.9782147,40.76911218,-73.9570098
40.7643254,-73.96748571,40.76909844,-73.95697371
40.78406897,-73.97066449,40.76907097,-73.95690874
40.78462212,-73.97197449,40.77431496,-73.94739896
40.74139345,-73.9781494,40.77470224,-73.94800522
40.8071505,-73.96708925,40.73988445,-73.9816466
40.8149576,-73.94484458,40.77123078,-73.95612752
40.7722397,-73.98042684,40.7841494,-73.97072915
40.72593857,-73.99847843,40.78444327,-73.97143317
40.74725844,-73.97794228,40.7841494,-73.97072915
40.77613767,-73.95157125,40.78444327,-73.97143317
40.72859267,-74.0085662,40.76952273,-73.95400583
40.72863244,-74.00855971,40.8580006,-73.93492603
40.72558939,-73.99783488,40.75376161,-73.96780809
40.78376342,-73.97361815,40.7815685,-73.97946498
40.74119942,-73.97829062,40.78162613,-73.97942524
40.7715179,-73.98040446,40.76911218,-73.9570098
40.72867385,-74.00855295,40.76909844,-73.95697371
40.72842761,-74.00859312,40.76907097,-73.95690874
40.72851232,-74.0085793,40.76926875,-73.95733462
40.7283448,-74.00860663,40.76922754,-73.95723356
40.80162404,-73.9585145,40.76934017,-73.95750425
40.72871552,-74.00854616,40.76926875,-73.95733462
40.72846738,-74.00858663,40.8413802,-73.93769986
40.72838784,-74.00859961,40.80291141,-73.93991753
40.78311573,-73.97208233,40.80170327,-73.9390373
40.73758254,-74.00588941,40.74362795,-73.97966433
40.72563604,-73.99779549,40.74362795,-73.97966433
40.82794852,-73.94990715,40.74362795,-73.97966433
40.8087159,-73.94358544,40.74362795,-73.97966433
40.7370373,-74.00642495,40.80254463,-73.93667427
40.72855454,-74.00857241,40.77402305,-73.95144291
40.77365396,-73.98552783,40.80441236,-73.95748908
40.7252132,-73.99909553,40.80441236,-73.95748908
40.72503928,-74.00467655,40.80444806,-73.95753241
40.84649341,-73.94252166,40.80441236,-73.95748908
40.77156066,-73.98050621,40.80444806,-73.95753241
40.80612271,-73.95524489,40.80444806,-73.95753241
40.77122451,-73.96595558,40.80530715,-73.95750657
40.80849177,-73.94083335,40.75973575,-73.99361807
40.80609258,-73.95517313,40.75956555,-73.99321381
40.80672251,-73.93911315,40.75949692,-73.99305138
40.81507061,-73.94094995,40.790673,-73.96834279
40.72707773,-73.98765349,40.75975497,-73.99370831
40.81581741,-73.94271739,40.75979065,-73.99379133
40.73741059,-74.0064256,40.75979065,-73.99379133
40.80718057,-73.95534335,40.7596534,-73.99346648
40.81525551,-73.94138754,40.7596534,-73.99346648
40.80330925,-73.96710333,40.78224423,-73.9826857
40.84120768,-73.93808896,40.78224423,-73.9826857
40.73253359,-74.00500406,40.74534522,-74.0006496
40.841254,-73.9382006,40.74722537,-73.99907248
40.77571229,-73.94686689,40.74512289,-74.0001227
40.76708003,-73.98399029,40.74514211,-74.00021292
40.80718295,-73.93994272,40.7450927,-74.00009022
40.7276255,-73.9874169,40.74531228,-74.00061712
40.77400972,-73.94688086,40.74540558,-74.0021076
40.79405484,-73.93401246,40.74505699,-74.00236382
40.80713112,-73.95537944,40.74491701,-74.00249013
40.80570969,-73.95091728,40.74491701,-74.00249013
40.80930648,-73.94110811,40.74542754,-74.00211482
40.73243882,-74.00530473,40.74435162,-74.00025984
40.80865242,-73.94343474,40.74435162,-74.00025984
40.8009633,-73.96544908,40.74597644,-74.0041178
40.80993963,-73.9426122,40.74597644,-74.0041178
