latitude15,longitude15,latitude05,longitude05
40.80754134,-73.95861206,40.70835345,-74.01258449
40.78041662,-73.96007527,40.70835345,-74.01258449
40.76437966,-73.9892713,40.70843579,-74.0125304
40.78061277,-73.98415749,40.70835345,-74.01258449
40.73791181,-74.00199676,40.8349923,-73.94674749
40.77339058,-73.96333908,40.8349923,-73.94674749
40.80528416,-73.96134249,40.8349923,-73.94674749
40.77040139,-73.96611252,40.8349923,-73.94674749
40.78093706,-73.98492381,40.73268088,-74.00332317
40.77160911,-73.95939435,40.73268088,-74.00332317
40.77253263,-73.95840918,40.73273295,-74.0056144
40.7515513,-73.99175365,40.73286743,-74.00569379
40.76450515,-73.95988798,40.73286743,-74.00569379
40.77044029,-73.9662051,40.73087911,-73.98292997
40.78611718,-73.97230633,40.78608338,-73.9783297
40.78082918,-73.98466889,40.73082422,-73.98296967
40.78511612,-73.95557195,40.730934,-73.98289027
40.78027608,-73.9597418,40.78594299,-73.9763003
40.7649318,-73.99058166,40.78665651,-73.97575115
40.78626076,-73.97220318,40.78673336,-73.97572224
40.76509625,-73.96092165,40.7297923,-73.98369516
40.76323884,-73.98896255,40.78670591,-73.97571503
40.79174164,-73.97685545,40.72351495,-73.98310142
40.80544227,-73.96171282,40.72170335,-73.98271586
40.80184518,-73.95373747,40.78595316,-73.94273505
40.78303355,-73.97214679,40.78595316,-73.94273505
40.77240528,-73.95850167,40.78595316,-73.94273505
40.76540213,-73.96070178,40.78755551,-73.94158892
40.77041483,-73.98582336,40.78755551,-73.94158892
40.73903559,-73.97792121,40.78755551,-73.94158892
40.76504356,-73.99084689,40.78755551,-73.94158892
40.77246764,-73.95919899,40.79226005,-73.93653237
40.72043227,-73.98442478,40.79226005,-73.93653237
40.77323682,-73.94613702,40.79226005,-73.93653237
40.78499629,-73.95565995,40.71633553,-74.00919871
40.76367078,-73.96010714,40.71633553,-74.00919871
40.76224191,-73.98781063,40.71633553,-74.00919871
40.76221801,-73.98775377,40.71639863,-74.00964963
40.76521716,-73.96083474,40.71639863,-74.00964963
40.77036315,-73.96602152,40.7080815,-74.01444559
40.77023713,-73.98346531,40.7080815,-74.01444559
40.78032825,-73.95986559,40.7080815,-74.01444559
40.77136072,-73.95957492,40.7162916,-74.00945482
40.73608757,-73.98049342,40.7162916,-74.00945482
40.76489056,-73.99048378,40.71648918,-74.00989495
40.76503411,-73.96096631,40.71648918,-74.00989495
40.7468674,-73.98106569,40.71674436,-74.01086175
40.76239058,-73.9895937,40.7162916,-74.00945482
40.78072037,-73.98441177,40.71648918,-74.00989495
40.78077458,-73.98453986,40.71648918,-74.00989495
40.77343807,-73.96345182,40.71648918,-74.00989495
40.75760112,-73.98262967,40.71674436,-74.01086175
40.75775098,-73.98298348,40.71615975,-74.01062718
40.74922128,-73.9768446,40.71674436,-74.01086175
40.77283439,-73.95849808,40.71615975,-74.01062718
40.79186131,-73.97713483,40.71581672,-74.00986959
40.77313601,-73.94621057,40.7158552,-74.00923471
40.76947659,-73.98163991,40.71581672,-74.00986959
40.77334614,-73.96323361,40.7158552,-74.00923471
40.73613029,-73.98059431,40.7158552,-74.00923471
40.73603551,-73.98037045,40.80285919,-73.95840753
40.80538715,-73.96158371,40.80376199,-73.95783987
40.78047359,-73.96021043,40.79628124,-73.93199951
40.75145682,-73.99152953,40.77234,-73.98257856
40.7780606,-73.98181561,40.78319837,-73.94462234
40.79866829,-73.97057648,40.78319837,-73.94462234
40.77090246,-73.9599131,40.77234,-73.98257856
40.78088205,-73.98479383,40.79111407,-73.93896393
40.76237428,-73.98646588,40.79658868,-73.93204615
40.77340723,-73.94601267,40.79658868,-73.93204615
40.73522642,-74.00106854,40.79611678,-73.93236807
40.77035668,-73.98568578,40.79618504,-73.93177207
40.76232377,-73.98634587,40.79626475,-73.93196341
40.76515695,-73.96087802,40.79628124,-73.93199951
40.76527785,-73.96079111,40.79611678,-73.93236807
40.78329607,-73.97276785,40.71890945,-73.98453115
40.78340413,-73.97302347,40.71902493,-73.98608594
40.77328482,-73.94610199,40.72011727,-73.98552294
40.77099173,-73.95984866,40.71902493,-73.98608594
40.77723004,-73.98062399,40.72011727,-73.98552294
40.78028787,-73.9833897,40.77234,-73.98257856
40.78807127,-73.9483779,40.78755551,-73.94158892
40.77051867,-73.96019015,40.78755551,-73.94158892
40.75340991,-73.96633572,40.78755551,-73.94158892
40.72095115,-73.98416394,40.78755551,-73.94158892
40.76258163,-73.98695858,40.78722152,-73.97389119
40.76245536,-73.98665854,40.79515379,-73.93307331
40.72706628,-73.9913149,40.79527176,-73.93298651
40.73900443,-73.97784655,40.7952114,-73.93302991
40.73896561,-73.97775354,40.79527176,-73.93298651
40.77316961,-73.94618605,40.79192345,-73.93837091
40.73523725,-74.00099706,40.79192345,-73.93837091
40.77255822,-73.96110596,40.79192345,-73.93837091
40.77246348,-73.96088154,40.73282889,-74.00769274
40.76290196,-73.98771974,40.73278496,-74.00792366
