latin,name,bronx,brooklyn,manhattan,queens,staten
Acer rubrum,red maple,2198,2384,356,4935,7373
Quercus palustris,pin oak,6445,12343,4584,22610,7203
Gleditsia triacanthos var. inermis,honeylocust,9691,16921,13176,20290,4186
Tilia americana,American linden,2132,4023,1583,4769,1023
Platanus x acerifolia,London planetree,7511,34886,4122,31111,9384
Ginkgo biloba,ginkgo,2685,5595,5859,5971,914
Quercus phellos,willow oak,505,802,889,730,258
Acer pseudoplatanus,sycamore maple,247,544,23,1603,314
Acer ginnala,Amur maple,431,263,30,671,654
Acer campestre,hedge maple,798,578,23,675,476
Ulmus americana,American elm,1471,2587,1698,1709,510
Fraxinus,ash,289,369,58,1324,569
Malus,crab apple,507,626,437,1404,553
Acer saccharinum,silver maple,662,1375,71,6116,4053
Corylus colurna,Turkish hazelnut,54,93,17,136,17
Prunus serotina,black cherry,64,152,32,269,90
Juniperus virginiana,eastern redcedar,158,290,42,532,79
Acer platanoides,Norway maple,3376,6989,290,19407,4127
Liriodendron tulipifera,tulip-poplar,62,275,34,489,216
Quercus acutissima,sawtooth oak,363,785,353,579,164
Quercus bicolor,swamp white oak,826,2714,681,1584,793
Styphnolobium japonicum,Sophora,2555,5989,4453,5386,955
Chionanthus retusus,Chinese fringetree,31,53,9,93,48
Magnolia grandiflora,southern magnolia,19,27,19,48,19
Liquidambar styraciflua,sweetgum,904,2027,227,2489,5010
Pyrus calleryana,Callery pear,4947,9081,7297,16547,21059
Quercus coccinea,scarlet oak,302,720,71,276,96
Chamaecyparis thyoides,Atlantic white cedar,53,95,12,133,62
Quercus velutina,black oak,224,441,192,372,98
Zelkova serrata,Japanese zelkova,4638,9659,3596,8987,2378
Quercus alba,white oak,203,503,241,507,232
Aesculus glabra,Ohio buckeye,6,21,24,19,5
Quercus rubra,northern red oak,1483,2468,1143,2697,609
Tilia tomentosa,silver linden,670,2373,541,4146,265
Carya glabra,pignut hickory,7,16,1,54,21
Cladrastis kentukea,Kentucky yellowwood,88,124,18,187,62
Morus,mulberry,155,206,68,581,147
Pseudotsuga menziesii,Douglas-fir,8,30,2,37,8
